epoch,pid,host_cpu_pct,rss_kb,vsz_kb,cpu_time,elapsed_time
1780140130,60285,472.7,1275920,439796400,26:47.39,06:11
1780140131,60285,397.8,1276816,439796400,26:51.21,06:12
1780140132,60285,564.9,1277392,439796400,26:56.59,06:13
1780140133,60285,566.6,1277776,439796400,27:02.33,06:14
1780140134,60285,520.3,1279984,439796400,27:07.78,06:15
1780140135,60285,563.5,1281680,439796400,27:13.38,06:16
1780140136,60285,491.3,1282224,439796400,27:18.58,06:17
1780140137,60285,478.3,1283664,439796400,27:23.75,06:18
1780140139,60285,521.2,1379120,439796400,27:29.25,06:20
1780140140,60285,459.1,1443776,439796400,27:33.52,06:21
1780140141,60285,527.9,1483040,439796400,27:38.91,06:22
1780140142,60285,618.6,1484608,439796400,27:45.12,06:23
1780140143,60285,567.5,1455856,439796400,27:50.94,06:24
1780140144,60285,614.5,1221296,439796400,27:56.75,06:25
1780140145,60285,571.5,1230208,439796400,28:02.01,06:26
1780140146,60285,548.9,1243808,439796400,28:07.68,06:27
1780140147,60285,553.1,993280,439796400,28:12.82,06:28
1780140148,60285,661.6,1031088,439796400,28:19.09,06:29
1780140149,60285,613.4,1031248,439796400,28:25.74,06:30
1780140150,60285,524.0,1057488,439796400,28:31.23,06:31
1780140151,60285,467.1,1024464,439796400,28:36.00,06:32
1780140152,60285,587.0,1046992,439796400,28:41.71,06:33
1780140153,60285,534.5,1080144,439796400,28:47.61,06:34
1780140154,60285,652.6,1102848,439796400,28:54.45,06:35
1780140155,60285,587.5,1115888,439796400,29:00.71,06:36
1780140156,60285,558.8,1217424,439796400,29:06.39,06:37
1780140157,60285,534.7,1218512,439796400,29:12.00,06:38
1780140158,60285,536.5,1130080,439796400,29:17.05,06:39
1780140159,60285,587.6,1135680,439796400,29:22.92,06:40
1780140160,60285,570.0,1169632,439796400,29:28.61,06:41
1780140161,60285,552.8,1189728,439796400,29:33.93,06:42
1780140162,60285,507.7,1209744,439796400,29:38.84,06:43
